,eventNum,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,condition,subID,run,trial,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd,Frequency
1,44,2,2,4,1,5,6,7,6.5,Situational,1,1,1,8.03943,0.75,3,0.75,task/Jitter/left1.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,12.839181,NA,NA,18.855559,26.872227,1,27.388421,2,176942.9923,3,36.454617,3,176943.142,2,31.921548,3,176943.0253,40.471626,2
2,74,5,5,2,7,7,5,7,6,Dispositional,1,1,2,40.504429,0.75,4.5,0.75,task/Jitter/right3.jpg,task/Jitter/left3.jpg,task/Jitter/left2.jpg,[2 1 1],1,46.887405,48.521548,1.634143,52.903783,60.920402,2,65.969745,4,176941.9588,1,61.436652,4,176941.7754,3,70.502844,4,176942.5087,74.519927,7
3,65,3,3,5,1,2,7,6,6.5,Situational,1,1,3,74.535998,0.75,4.5,1.5,task/Jitter/right3.jpg,task/Jitter/right1.jpg,task/Jitter/right1.jpg,[2 2 2],1,81.502282,NA,NA,87.518896,95.535334,3,105.117709,4,176941.4255,2,100.584609,1,176941.6255,1,96.051516,4,176941.9088,109.134811,1
4,62,6,6,1,7,5,6,5,5.5,Dispositional,1,1,4,109.150831,0.75,4.5,1.5,task/Jitter/left2.jpg,task/Jitter/right1.jpg,task/Jitter/right3.jpg,[1 2 2],1,116.133831,117.75812,1.624288,122.150232,130.166842,3,139.749271,4,176942.1587,2,135.216144,3,176942.4255,1,130.683045,4,176942.1921,143.766319,2
5,56,3,3,3,5,7,7,7,7,Dispositional,1,1,5,143.782363,0.75,4.5,1.5,task/Jitter/right2.jpg,task/Jitter/right2.jpg,task/Jitter/left1.jpg,[2 2 1],1,150.865335,NA,NA,156.881696,164.898336,1,165.414577,4,176942.2754,3,174.480768,4,176942.1921,2,169.947669,4,176942.6254,178.497869,3
6,71,4,4,2,1,1,7,7,7,Situational,1,1,6,178.513894,0.75,4.5,0.75,task/Jitter/right2.jpg,task/Jitter/left2.jpg,task/Jitter/right1.jpg,[2 1 2],1,184.830258,187.669834,2.839576,190.846586,198.863308,3,208.445673,4,176942.3254,1,199.379469,1,176941.7421,2,203.912567,4,176942.892,212.462753,1
7,32,3,3,2,5,5,7,6,6.5,Situational,1,1,7,212.47879,1.5,3,1.5,task/Jitter/left3.jpg,task/Jitter/left2.jpg,NaN,[1 1],1,218.66181,NA,NA,224.67841,232.694632,1,233.211044,4,176942.3254,2,237.744142,2,176943.1253,3,242.277241,3,176944.0253,246.294256,3
8,77,5,5,2,6,6,6,6,6,Situational,1,1,8,246.310392,1.5,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/left1.jpg,task/Jitter/right1.jpg,[1 1 2],1,253.293363,259.173257,5.879894,259.309689,267.32639,2,272.375671,4,176942.0421,3,276.908772,2,176943.1587,1,267.842576,4,176941.4255,280.925834,1
9,48,3,3,3,3,5,6,5,5.5,Dispositional,1,1,9,280.941879,1.5,3,0.75,task/Jitter/right2.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,286.391616,NA,NA,292.408267,300.424461,1,300.940858,3,176941.1255,2,305.473948,4,176942.8587,3,310.007051,3,176943.6253,314.024091,2
10,69,5,5,2,2,1,6,7,6.5,Dispositional,1,1,10,314.040194,1.5,3,1.5,task/Jitter/left2.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,320.223209,322.62403,2.400821,326.239577,334.256278,2,339.305518,2,176944.0087,3,343.838623,1,176943.2087,1,334.772429,1,176941.8921,347.855695,1
