EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,rating,Condition,sub
47,3,2,1,7,3,6,6,6,2,11
31,3,4,1,7,5,4,7,5.5,1,11
76,6,4,3,3,3,5,7,6,2,11
48,7,7,3,7,1,5,5,5,1,11
63,3,2,4,3,3,7,7,7,1,11
22,3,2,3,4,2,7,7,7,2,11
3,6,7,2,5,4,7,6,6.5,2,11
77,7,7,1,7,1,4,7,5.5,2,11
30,7,7,3,7,4,4,4,4,1,11
32,3,2,2,4,3,6,7,6.5,1,11
68,3,2,3,7,2,5,7,6,2,11
52,7,7,1,7,3,7,7,7,1,11
7,4,5,2,3,1,7,6,6.5,2,11
51,3,2,4,3,1,7,7,7,1,11
80,4,2,4,4,3,5,6,5.5,1,11
10,6,5,4,2,1,4,6,5,2,11
14,3,2,4,4,5,7,7,7,1,11
39,7,7,1,7,7,6,6,6,1,11
29,7,7,1,7,4,6,5,5.5,2,11
25,7,7,1,7,2,7,7,7,1,11
2,4,5,3,1,1,6,7,6.5,2,11
71,7,7,1,4,3,7,4,5.5,2,11
33,2,3,3,3,4,6,6,6,2,11
66,3,2,4,7,3,5,3,4,1,11
56,3,2,3,7,1,7,7,7,1,11
17,6,6,1,7,1,7,7,7,2,11
55,3,2,3,7,4,7,7,7,1,11
69,3,2,1,7,1,7,6,6.5,1,11
6,7,7,3,1,3,6,6,6,2,11
59,7,7,1,7,6,4,5,4.5,2,11
34,7,7,4,7,1,5,7,6,1,11
40,3,2,4,2,4,7,6,6.5,2,11
43,4,3,4,7,1,5,7,6,1,11
67,7,7,1,4,1,5,7,6,2,11
57,1,1,1,7,1,7,7,7,2,11
75,2,2,3,2,5,7,3,5,1,11
79,5,1,4,2,4,7,6,6.5,2,11
60,3,2,4,3,4,7,7,7,1,11
16,6,7,1,5,5,6,6,6,2,11
70,7,7,4,7,6,7,7,7,2,11
9,3,3,3,4,4,7,7,7,1,11
5,5,5,2,1,3,7,7,7,1,11
18,7,7,5,1,1,5,3,4,2,11
15,2,4,3,5,1,7,7,7,2,11
35,4,4,4,4,2,7,5,6,2,11
8,2,3,3,1,1,5,5,5,1,11
58,7,7,1,7,1,6,7,6.5,1,11
4,7,7,1,7,1,7,7,7,1,11
38,7,7,1,7,1,6,3,4.5,2,11
28,4,3,1,3,1,7,6,6.5,1,11
73,4,3,2,7,2,5,6,5.5,2,11
21,5,3,3,5,2,7,7,7,1,11
62,3,2,4,3,1,4,5,4.5,1,11
23,7,7,1,7,1,7,6,6.5,2,11
11,7,7,1,7,2,6,7,6.5,2,11
45,3,2,3,7,4,4,6,5,1,11
37,7,7,1,7,5,5,3,4,1,11
41,7,7,1,7,1,4,5,4.5,2,11
24,7,7,3,7,3,7,7,7,1,11
74,5,5,2,2,4,4,7,5.5,2,11
78,2,2,4,2,3,7,7,7,2,11
13,4,7,1,3,1,5,6,5.5,1,11
20,6,7,2,7,2,7,7,7,1,11
12,2,3,4,3,3,5,7,6,2,11
27,4,5,3,7,1,7,7,7,0,11
19,3,2,3,6,2,4,6,5,0,11
1,7,7,4,2,1,7,6,6.5,0,11
