EventNumber,Detail,Vividness,Valence,Regret,Control,R1,R2,difference
26,7,7,4,2,7,3,6,5
65,3,3,5,2,2,5,3,4
69,5,5,6,7,7,7,7,4
73,7,5,7,7,1,3,2,4
59,3,3,3,6,5,5,7,3
63,4,4,3,4,6,6,4,3
3,7,3,2,2,6,5,7,2
18,6,6,7,7,5,7,5,2
24,7,7,5,5,3,3,5,2
29,4,4,3,3,2,6,4,2
36,7,7,7,6,3,4,2,2
37,7,7,7,5,3,4,2,2
38,7,7,6,5,4,4,2,2
40,5,4,6,6,3,7,5,2
43,3,3,5,5,6,7,5,2
47,3,3,5,6,6,7,5,2
52,2,2,2,5,4,3,1,2
58,7,7,5,7,3,6,4,2
68,3,3,5,2,3,3,5,2
70,3,3,5,7,6,7,5,2
77,7,7,5,5,6,6,4,2
2,7,4,3,3,7,6,7,1
6,3,4,6,6,7,7,6,1
7,6,6,7,7,7,6,7,1
9,4,3,3,2,2,7,6,1
10,3,2,3,3,1,4,5,1
15,4,5,5,2,2,5,4,1
19,5,4,5,5,5,7,6,1
21,6,6,5,6,6,7,6,1
31,7,7,5,7,7,6,7,1
33,2,2,4,2,1,7,6,1
34,4,4,3,2,5,5,6,1
41,4,4,6,4,4,5,6,1
44,2,2,5,7,7,7,6,1
45,3,3,2,5,7,5,4,1
46,2,2,2,1,6,5,4,1
48,2,2,6,6,2,7,6,1
50,5,4,3,3,3,5,6,1
51,7,7,7,2,4,5,4,1
56,7,7,7,7,5,6,5,1
60,4,4,5,5,5,5,6,1
64,4,4,3,5,6,5,6,1
66,7,7,6,6,6,6,5,1
67,6,6,3,2,1,5,6,1
71,7,7,3,7,5,6,5,1
72,7,7,7,7,7,7,6,1
76,4,4,5,7,5,5,4,1
79,7,7,5,7,7,6,5,1
80,7,7,7,7,7,7,6,1
4,7,5,5,5,6,7,7,0
5,4,4,4,5,3,7,7,0
8,4,5,3,3,2,6,6,0
11,5,5,5,2,1,5,5,0
12,6,6,6,7,5,6,6,0
13,7,7,6,2,2,7,7,0
14,7,7,7,6,3,5,5,0
16,6,6,7,7,5,3,3,0
17,4,3,5,5,6,6,6,0
20,4,4,5,6,6,5,5,0
22,6,7,7,3,2,5,5,0
23,4,2,2,2,1,6,6,0
25,5,5,6,6,5,7,7,0
27,7,7,6,6,4,7,7,0
28,6,5,7,7,7,5,5,0
30,3,3,5,4,4,7,7,0
32,3,3,2,1,1,7,7,0
35,2,2,6,6,5,3,3,0
39,6,5,5,2,2,2,2,0
42,5,5,4,7,4,7,7,0
49,6,6,4,4,6,7,7,0
53,5,5,3,3,2,5,5,0
54,2,2,4,4,1,7,7,0
55,2,2,3,5,5,7,7,0
57,7,7,7,7,4,2,2,0
61,5,5,7,7,7,7,7,0
62,7,7,6,5,4,7,7,0
74,7,6,6,7,6,7,7,0
75,6,6,4,7,7,6,6,0
78,5,5,4,4,6,6,6,0
