Condition,Frequency,sub,EventNumber
Context,1,35,77
Self,5,35,67
Context,6,35,73
Self,5,35,53
Self,6,35,69
Context,1,35,41
Context,3,35,15
Context,4,35,74
Self,1,35,54
Self,5,35,26
Context,1,35,68
Self,2,35,36
Context,2,35,35
Self,3,35,6
Self,5,35,30
Context,1,35,63
Self,1,35,59
Self,1,35,78
Context,2,35,13
Self,4,35,19
Context,1,35,44
Context,1,35,1
Context,1,35,38
Self,1,35,50
Self,1,35,43
Context,2,35,14
Self,1,35,46
Self,1,35,5
Context,1,35,80
Context,3,35,17
Self,3,35,60
Context,1,35,61
Self,3,35,23
Context,2,35,32
Context,1,35,65
Self,7,35,31
Context,1,35,18
Self,1,35,58
Context,1,35,42
Context,2,35,37
Self,2,35,3
Self,1,35,16
Context,1,35,12
Context,3,35,64
Context,3,35,22
Self,1,35,33
Self,1,35,47
Self,1,35,2
Context,1,35,79
Self,3,35,24
Context,4,35,52
Self,4,35,4
Self,3,35,20
Context,1,35,11
Context,1,35,70
Self,1,35,48
Self,6,35,34
Context,3,35,8
Self,2,35,72
Context,1,35,29
Context,2,35,40
Self,5,35,75
Self,7,35,28
Context,1,35,57
,,,9
,,,62
,,,55
