sub,run,trial,condition,fixOnsetTime,jitter1,jitter2,jitter3,jitterStim1,jitterStim2,jitterStim3,jitterResp,jitterAccuracy,memOnsetTime,eventNum,memRTtime,memRT,cftOnsetTime,endCFT,plausibilityOrder,plausibilityOnsetTime,plausibilityResponse,plausibilityRT,controlOrder,controlOnsetTime,controlResponse,controlRT,difficultyOrder,difficultyOnsetTime,difficultyResponse,difficultyRT,trialEnd
8,4,1,2,8.038482,0.75,3,0.75,task/Jitter/right3.jpg,task/Jitter/right1.jpg,NaN,[2 2],1,12.671561,11,13.909526,1.237965,18.687791,26.703931,2,31.753639,4,622376.5646,3,36.28667,2,622377.8193,1,27.220588,3,622376.7995,40.303045
8,4,2,1,40.319673,1.5,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/right3.jpg,task/Jitter/right1.jpg,[2 2 2],1,47.252615,22,49.519508,2.266893,53.268885,61.285012,2,66.334688,3,622376.6066,1,61.801656,4,622375.8137,3,70.86774,3,622377.4945,74.884116
8,4,3,2,74.900804,0.75,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/right1.jpg,task/Jitter/left2.jpg,[1 2 1],1,81.1004,79,85.778508,4.678108,87.116647,95.13277,3,104.715516,2,622376.6187,1,95.649426,1,622376.4979,2,100.182482,2,622376.8277,108.731889
8,4,4,1,108.748572,1.5,3,1.5,task/Jitter/right1.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,114.881516,1,116.541479,1.659963,120.897788,128.91389,2,133.963595,2,622376.7075,1,129.430561,4,622376.7815,3,138.496618,2,622376.4264,142.513012
8,4,5,1,142.529657,0.75,4.5,1.5,task/Jitter/right1.jpg,task/Jitter/right1.jpg,task/Jitter/left2.jpg,[2 2 1],1,149.445909,16,150.463428,1.01752,155.462167,163.478308,1,163.99494,4,622375.9513,3,173.061011,4,622377.5973,2,168.52799,3,622376.802,177.077407
8,4,6,2,177.094078,1.5,4.5,0.75,task/Jitter/left1.jpg,task/Jitter/left1.jpg,task/Jitter/left3.jpg,[1 1 1],1,184.010302,72,185.669481,1.659179,190.026542,198.042686,2,203.092374,2,622377.9159,1,198.559349,1,622375.9689,3,207.625409,1,622376.2267,211.641811
8,4,7,2,211.658478,0.75,4.5,0.75,task/Jitter/left3.jpg,task/Jitter/left2.jpg,task/Jitter/left2.jpg,[1 1 1],1,217.824737,63,219.20845,1.383713,223.840983,231.857127,3,241.439859,2,622376.4151,1,232.373794,1,622376.1694,2,236.906826,2,622376.2634,245.456247
8,4,8,1,245.472921,0.75,4.5,0.75,task/Jitter/right1.jpg,task/Jitter/right3.jpg,task/Jitter/left3.jpg,[2 2 1],1,251.672532,62,253.178452,1.50592,257.688765,265.704922,1,266.221574,4,622376.2604,2,270.754596,3,622376.1864,3,275.287647,2,622378.4607,279.304032
8,4,9,1,279.320705,1.5,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/right3.jpg,task/Jitter/left2.jpg,[1 2 1],1,287.003527,36,289.106451,2.102923,293.019811,301.035906,3,310.618647,2,622376.5265,1,301.552587,3,622376.7706,2,306.085609,2,622376.7716,314.635034
8,4,10,2,314.651726,0.75,3,1.5,task/Jitter/right2.jpg,task/Jitter/left2.jpg,NaN,[2 1],1,320.034696,19,320.759436,0.72474,326.050972,334.067113,2,339.116772,2,622376.3934,1,334.583753,2,622377.4123,3,343.649817,2,622376.4681,347.666212
8,4,11,1,347.682889,0.75,3,0.75,task/Jitter/right2.jpg,task/Jitter/left2.jpg,NaN,[2 1],1,352.315904,7,353.796419,1.480515,358.332178,366.348304,2,371.398001,4,622376.0752,3,375.931039,2,622376.5081,1,366.864951,1,622376.8322,379.94741
8,4,12,2,379.964046,0.75,4.5,1.5,task/Jitter/left1.jpg,task/Jitter/left1.jpg,task/Jitter/left1.jpg,[1 1 1],1,386.863635,70,390.179389,3.315753,392.879893,400.896028,3,410.478755,1,622377.6155,2,405.945729,1,622376.1753,1,401.412691,2,622376.0622,414.49517
8,4,13,2,414.51182,1.5,4.5,1.5,task/Jitter/left3.jpg,task/Jitter/left1.jpg,task/Jitter/right1.jpg,[1 1 2],1,422.227996,69,424.442349,2.214353,428.244255,436.260357,2,441.310074,2,622376.5738,1,436.777026,3,622376.3931,3,445.843106,2,622377.138,449.859477
8,4,14,1,449.876166,1.5,3,1.5,task/Jitter/left3.jpg,task/Jitter/right2.jpg,NaN,[1 2],1,456.009107,42,458.430368,2.421261,462.025347,470.041495,3,479.624229,4,622376.0119,1,470.558141,4,622376.507,2,475.091189,4,622377.756,483.640613
8,4,15,1,483.657285,1.5,3,1.5,task/Jitter/right2.jpg,task/Jitter/left1.jpg,NaN,[2 1],1,489.790226,31,491.783349,1.993123,495.806462,503.82262,1,504.339252,4,622376.8749,2,508.872287,4,622376.0096,3,513.40533,2,622376.4587,517.421725
8,4,16,2,517.438394,1.5,3,1.5,task/Jitter/right1.jpg,task/Jitter/right3.jpg,NaN,[2 2],1,523.571324,60,525.080363,1.509039,529.587603,537.603722,3,547.18644,2,622377.0957,2,542.653409,2,622377.2787,1,538.120382,3,622376.5615,551.202839
