EventNumber,Title,Description,Detail,Vividness,Valence,Regret,Control,MK_closeness,KO_closeness,MK_mutability,KO_mutability,Condition
1,title1,description1,2,6,1,2,2,2,5,4,2,2
2,title2,description2,6,3,1,1,6,5,3,3,6,1
3,title3,description3,6,7,4,5,7,5,7,7,2,1
4,title4,description4,6,1,3,4,2,3,3,6,7,2
5,title5,description5,7,7,4,4,1,2,5,6,1,2
6,title6,description6,5,4,4,7,7,3,6,4,2,1
7,title7,description7,6,1,4,3,5,3,4,2,3,2
8,title8,description8,3,1,5,6,4,2,2,2,5,1
9,title9,description9,6,7,4,7,5,2,5,2,2,1
10,title10,description10,2,3,3,1,2,5,5,1,6,1
11,title11,description11,2,6,3,6,2,5,3,3,5,1
12,title12,description12,1,2,5,1,5,3,6,3,5,1
13,title13,description13,1,4,4,5,5,7,4,5,4,1
14,title14,description14,4,2,5,4,3,7,6,6,5,1
15,title15,description15,4,5,3,4,1,6,5,3,5,2
16,title16,description16,6,4,5,7,5,3,1,7,6,1
17,title17,description17,6,7,3,6,1,4,4,1,2,1
18,title18,description18,7,6,5,5,4,1,5,2,7,2
19,title19,description19,7,6,4,5,7,2,3,2,1,2
20,title20,description20,2,2,1,6,7,7,1,2,6,1
21,title21,description21,2,1,2,1,6,7,1,2,5,2
22,title22,description22,4,6,5,5,2,1,3,7,2,2
23,title23,description23,4,7,4,3,4,6,5,2,6,1
24,title24,description24,7,1,3,4,7,1,4,7,2,2
25,title25,description25,7,3,4,1,1,5,5,2,7,1
26,title26,description26,3,7,3,4,4,3,6,5,5,1
27,title27,description27,7,2,3,6,6,7,5,7,7,2
28,title28,description28,1,1,3,6,3,7,3,3,4,1
29,title29,description29,1,6,1,3,4,7,2,1,3,1
30,title30,description30,3,2,2,5,3,6,5,2,5,2
31,title31,description31,1,5,4,3,3,1,7,5,5,1
32,title32,description32,4,5,1,2,2,5,1,2,7,2
33,title33,description33,6,3,3,7,3,7,4,3,3,1
34,title34,description34,4,2,4,5,7,5,3,7,3,1
35,title35,description35,7,4,4,4,5,5,3,1,4,2
36,title36,description36,7,3,5,4,5,3,3,1,7,2
37,title37,description37,2,2,3,6,3,1,2,4,4,1
38,title38,description38,4,5,3,1,2,2,2,3,6,2
39,title39,description39,6,7,5,3,1,5,4,7,2,1
40,title40,description40,5,7,5,5,1,1,3,1,1,2
41,title41,description41,5,3,5,3,1,3,3,5,4,1
42,title42,description42,7,3,5,2,1,2,7,1,3,2
43,title43,description43,4,5,4,1,4,6,7,1,1,1
44,title44,description44,4,1,1,1,7,7,3,7,3,1
45,title45,description45,7,7,1,3,5,7,4,2,4,1
46,title46,description46,5,4,4,5,5,3,1,3,5,2
47,title47,description47,7,6,5,7,2,7,3,3,3,1
48,title48,description48,4,1,3,7,5,7,7,1,5,1
49,title49,description49,2,7,1,3,4,3,4,5,3,2
50,title50,description50,5,7,5,1,7,5,5,3,5,2
51,title51,description51,5,4,1,4,1,4,5,4,4,2
52,title52,description52,3,1,4,4,6,2,5,2,6,1
53,title53,description53,2,4,3,5,7,3,3,4,2,1
54,title54,description54,4,7,1,1,1,3,3,1,2,1
55,title55,description55,4,7,2,3,1,1,7,3,3,2
56,title56,description56,1,4,3,7,5,5,2,3,3,1
57,title57,description57,6,7,4,1,7,6,1,6,2,2
58,title58,description58,7,2,4,4,4,3,5,7,3,1
59,title59,description59,5,7,4,6,7,1,1,2,2,2
60,title60,description60,4,7,2,5,2,1,5,7,1,2
61,title61,description61,7,5,2,2,7,5,3,7,5,2
62,title62,description62,3,1,5,6,6,3,1,7,5,2
63,title63,description63,1,6,4,1,7,3,7,6,6,1
64,title64,description64,5,5,1,3,7,5,4,5,6,1
65,title65,description65,4,3,2,7,3,2,4,2,6,2
66,title66,description66,2,5,1,7,1,2,1,5,4,2
67,title67,description67,6,1,1,4,6,6,4,7,3,1
